Country Name,Country Code,Year,Life Expectancy (Years),GDP/capita (USD),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate/100000),2005-1010 crime rate ratio,BLcode,sex,agefrom,ageto,Percentage of No Schooling Attained in Pop,Percentage of Primary Schooling Attained in Pop,Percentage of Complete Primary Schooling Attained in Pop,Percentage of Secondary Schooling Attained in Pop,Percentage of Complete Secondary Schooling Attained in Pop,Percentage of Tertiary Schooling Attained in Pop,Percentage of Complete Tertiary Schooling Attained in Pop,Average Years of Schooling Attained,Average Years of Primary Schooling Attained,Average Years of Secondary Schooling Attained,Average Years of Tertirary Schooling Attained,Population (1000s),region_code
Kazakhstan,KAZ,2005,65.86,3771.27895733845,21.061175298489964,,312,MF,15,19,0.0,2.67,2.07,97.33,68.82,0.0,0.0,10.23,3.99,6.24,0.0,1596,Europe and Central Asia
Kazakhstan,KAZ,2010,68.45,9070.48825285747,13.891220623651744,0.659565310424424,312,MF,15,19,0.1,6.98,5.63,83.71,59.03,9.22,1.79,10.2,3.97,6.01,0.22,1220,Europe and Central Asia
Kenya,KEN,2005,54.732,511.616394301253,9.60862813839526,,21,MF,15,19,13.39,53.75,16.98,32.45,4.77,0.42,0.08,5.93,4.78,1.14,0.01,4198,Sub-Saharan Africa
Kenya,KEN,2010,60.959,1080.29618449063,9.705305114899856,1.010061475489751,21,MF,15,19,6.78,72.85,15.82,20.02,4.17,0.35,0.07,4.48,3.88,0.59,0.01,4154,Sub-Saharan Africa
Cambodia,KHM,2005,63.088,474.111192071079,3.409315316319762,,310,MF,15,19,16.89,65.14,32.66,17.44,1.47,0.53,0.1,4.8,4.01,0.78,0.01,1722,East Asia and the Pacific
Cambodia,KHM,2010,66.56,785.50266705782,3.406697424978542,0.9992321357521,310,MF,15,19,7.38,65.98,39.4,25.62,1.99,1.03,0.2,5.67,4.76,0.89,0.02,1720,East Asia and the Pacific
Kuwait,KWT,2005,73.538,35591.0371337921,2.037600225187909,,93,MF,15,19,0.18,47.86,36.14,51.95,5.46,0.0,0.0,6.05,3.76,2.3,0.0,189,Middle East and North Africa
Kuwait,KWT,2010,74.358,38577.4982788212,1.0376678530668446,0.5092597852314971,93,MF,15,19,0.2,60.98,47.98,38.82,9.69,0.0,0.0,5.67,3.73,1.94,0.0,204,Middle East and North Africa
Liberia,LBR,2005,55.393,294.893220066163,2.2563990051522302,,23,MF,15,19,45.09,39.46,21.22,12.77,3.07,2.68,0.37,3.44,2.75,0.64,0.06,362,Sub-Saharan Africa
Liberia,LBR,2010,59.6,513.44556667507,2.65558106291714,1.176911112287066,23,MF,15,19,28.4,60.74,36.26,10.6,2.64,0.18,0.03,3.97,3.56,0.41,0.0,407,Sub-Saharan Africa
Sri Lanka,LKA,2005,74.695,1248.69818517034,6.036672731106384,,101,MF,15,19,2.12,6.79,5.02,82.03,55.52,9.06,1.76,11.82,4.85,6.76,0.22,1788,South Asia
Sri Lanka,LKA,2010,75.439,2799.64873802555,3.848390687292144,0.6375019582330119,101,MF,15,19,0.8,2.55,1.96,81.94,26.73,14.7,2.85,10.82,4.94,5.52,0.35,1722,South Asia
Lesotho,LSO,2005,42.658,842.812630961302,36.10122571465961,,22,MF,15,19,5.6,47.44,17.55,46.36,46.08,0.6,0.12,7.92,5.56,2.34,0.01,244,Sub-Saharan Africa
Lesotho,LSO,2010,45.1,1119.84364083093,35.80832000884451,0.991886544015702,22,MF,15,19,4.35,79.32,28.1,16.31,5.16,0.03,0.01,5.5,4.9,0.59,0.0,232,Sub-Saharan Africa
Lithuania,LTU,2005,71.2536585365854,7854.76527867855,12.118311181311954,,325,MF,15,19,0.3,42.26,41.94,57.44,11.69,0.0,0.0,7.2,3.98,3.22,0.0,284,Europe and Central Asia
Lithuania,LTU,2010,73.2682926829268,11987.508411647,8.560909534632973,0.7064441081390147,325,MF,15,19,0.0,38.45,38.27,61.55,13.48,0.0,0.0,7.96,4.0,3.96,0.0,245,Europe and Central Asia
Luxembourg,LUX,2005,79.4317073170732,80988.1376230858,1.3851960223711637,,119,MF,15,19,3.39,37.51,34.7,58.7,7.39,0.21,0.03,7.78,5.7,2.07,0.0,26,Advanced Economies
Luxembourg,LUX,2010,80.6317073170732,110885.991378721,1.186796798903982,0.8567717346404418,119,MF,15,19,3.11,32.19,29.96,64.69,8.44,0.0,0.0,8.02,5.75,2.28,0.0,30,Advanced Economies
Latvia,LVA,2005,71.3560975609756,7594.90238431362,12.0815047278209,,324,MF,15,19,0.09,6.65,6.13,93.22,29.57,0.04,0.01,9.54,3.99,5.55,0.0,185,Europe and Central Asia
Latvia,LVA,2010,73.4829268292683,11420.9940032836,8.369335834498418,0.6927395240119206,324,MF,15,19,1.47,7.4,6.78,87.28,28.8,3.84,0.74,9.56,3.93,5.54,0.09,141,Europe and Central Asia
Morocco,MAR,2005,71.746,2018.02551269531,1.4703107646239744,,29,MF,15,19,35.12,22.91,22.91,38.07,12.08,3.9,0.76,5.5,3.24,2.16,0.09,3262,Middle East and North Africa
Morocco,MAR,2010,74.382,2839.92602539063,1.3330243999269349,0.9066276545066648,29,MF,15,19,24.67,23.27,23.27,47.76,15.76,4.3,0.83,6.79,4.52,2.16,0.1,3198,Middle East and North Africa
Maldives,MDV,2005,73.612,3640.0121322011,1.738730819167559,,315,MF,15,19,1.56,40.36,29.92,57.98,2.85,0.0,0.0,7.61,4.66,2.96,0.0,39,South Asia
Maldives,MDV,2010,75.905,7076.73982087196,2.098328140817216,1.206815981913646,315,MF,15,19,1.56,24.08,18.37,74.31,7.91,0.05,0.0,9.08,6.69,2.39,0.0,42,South Asia
Mexico,MEX,2005,75.3,8277.67156384567,11.597168847513382,,60,MF,15,19,1.22,12.37,8.5,83.14,36.4,3.26,0.0,9.66,5.81,3.78,0.07,10623,Latin America and the Caribbean
Mexico,MEX,2010,75.065,9271.39839576997,18.55368698916552,1.5998462411921963,60,MF,15,19,1.16,12.56,8.87,82.33,35.85,3.95,0.0,9.68,5.82,3.78,0.08,10968,Latin America and the Caribbean
Mali,MLI,2005,52.057,489.022855550956,8.213436135178727,,26,MF,15,19,56.64,26.36,14.15,16.48,1.78,0.52,0.1,2.83,2.24,0.58,0.01,1483,Sub-Saharan Africa
Mali,MLI,2010,55.251,710.274303600905,8.407962400114902,1.0236839078961126,26,MF,15,19,56.61,19.91,11.55,23.26,2.4,0.22,0.04,3.14,2.35,0.78,0.01,1749,Sub-Saharan Africa
Malta,MLT,2005,79.3,15888.1723209834,1.301956295231863,,120,MF,15,19,0.1,23.24,23.24,76.76,11.06,0.0,0.0,10.06,6.0,4.06,0.0,29,Middle East and North Africa
Malta,MLT,2010,81.3975609756098,21799.1742559798,1.328565978864661,1.020438231091359,120,MF,15,19,0.36,20.79,20.79,78.56,16.75,0.28,0.03,10.27,5.98,4.28,0.01,27,Middle East and North Africa
Myanmar,MMR,2005,61.607,216.311501416722,1.9008518665862328,,82,MF,15,19,10.04,61.03,36.94,18.23,8.77,10.69,2.08,5.7,3.9,1.55,0.26,5053,East Asia and the Pacific
Myanmar,MMR,2010,63.525,746.945359978558,1.5030650486594888,0.7907323422097403,82,MF,15,19,0.09,63.92,43.8,21.71,10.58,14.28,2.77,6.77,4.49,1.94,0.34,5362,East Asia and the Pacific
Mongolia,MNG,2005,65.103,998.829388045669,12.852041597571086,,316,MF,15,19,5.25,18.71,14.53,72.94,30.55,3.09,3.0,7.38,2.78,4.47,0.12,317,East Asia and the Pacific
Mongolia,MNG,2010,67.38,2643.28708316435,10.61014043958658,0.8255606985890706,316,MF,15,19,3.42,12.79,10.31,83.22,42.17,0.56,0.54,8.04,3.81,4.21,0.02,275,East Asia and the Pacific
Mozambique,MOZ,2005,50.387,416.809824183966,5.620580538547688,,30,MF,15,19,73.67,18.71,14.53,7.55,2.39,0.07,0.01,1.49,1.21,0.28,0.0,2172,Sub-Saharan Africa
Mozambique,MOZ,2010,52.31,471.904360009894,6.67643143336959,1.187854419588964,30,MF,15,19,52.42,30.22,24.35,17.24,5.69,0.11,0.02,3.76,3.13,0.64,0.0,2503,Sub-Saharan Africa
Mauritania,MRT,2005,61.349,970.842360719242,5.790298652342161,,27,MF,15,19,11.16,69.44,53.92,17.99,5.71,1.4,0.27,5.69,4.86,0.8,0.03,313,Sub-Saharan Africa
Mauritania,MRT,2010,62.527,1610.92063018438,5.546791893199479,0.9579457341040286,27,MF,15,19,2.81,77.27,62.26,19.19,6.33,0.73,0.14,6.21,5.38,0.81,0.02,357,Sub-Saharan Africa
Mauritius,MUS,2005,72.4321951219512,5282.90602155635,3.300396752398944,,28,MF,15,19,0.75,15.17,4.29,81.95,45.43,2.13,0.0,10.1,5.63,4.42,0.04,96,Sub-Saharan Africa
Mauritius,MUS,2010,72.9673170731707,8000.37643182154,3.586305972091842,1.0866287422822969,28,MF,15,19,0.21,3.94,1.14,95.82,76.61,0.03,0.0,11.85,5.9,5.94,0.0,108,Sub-Saharan Africa
Malawi,MWI,2005,47.844,289.555214787188,3.0802859671093747,,25,MF,15,19,0.09,90.46,19.09,9.41,2.3,0.04,0.01,5.37,5.14,0.24,0.0,1362,Sub-Saharan Africa
Malawi,MWI,2010,55.564,478.668688469613,2.734776230311855,0.887831928435607,25,MF,15,19,0.09,86.35,21.58,13.52,2.87,0.04,0.01,4.55,4.05,0.49,0.0,1681,Sub-Saharan Africa
Malaysia,MYS,2005,73.555,5587.02477972975,2.6048944641936163,,94,MF,15,19,3.99,1.53,0.85,85.21,60.46,9.27,1.0,11.57,5.74,5.62,0.21,2288,East Asia and the Pacific
Malaysia,MYS,2010,74.493,9040.56849464524,2.509677685035683,0.9634469724333308,94,MF,15,19,1.68,3.83,2.04,82.61,63.63,11.88,1.28,11.96,5.85,5.86,0.26,2741,East Asia and the Pacific
Namibia,NAM,2005,50.931,3739.53171740574,21.745500641673942,,141,MF,15,19,22.67,59.35,34.02,17.78,7.11,0.2,0.04,5.22,4.53,0.69,0.0,239,Sub-Saharan Africa
Namibia,NAM,2010,56.665,5394.99671166874,20.86505519915403,0.9595113740066028,141,MF,15,19,23.72,57.37,34.72,18.71,7.11,0.2,0.04,5.27,4.55,0.71,0.0,289,Sub-Saharan Africa
Niger,NER,2005,53.411,321.723661184348,8.851606030582436,,31,MF,15,19,70.48,20.54,15.95,8.77,2.78,0.2,0.04,2.09,1.63,0.45,0.0,1483,Sub-Saharan Africa
Niger,NER,2010,57.333,476.869532167304,7.708934877251691,0.8709080420679819,31,MF,15,19,59.29,28.47,22.94,12.04,3.97,0.2,0.04,2.9,2.28,0.61,0.0,1735,Sub-Saharan Africa
Nicaragua,NIC,2005,71.195,1162.28968513428,9.296049504634857,,61,MF,15,19,11.21,36.63,10.34,47.91,18.23,4.25,4.05,6.72,4.54,2.01,0.17,639,Latin America and the Caribbean
Nicaragua,NIC,2010,72.428,1503.87223074992,8.10504446126371,0.8718805184097469,61,MF,15,19,6.86,35.4,10.17,53.09,21.04,4.65,4.43,7.26,4.83,2.25,0.18,677,Latin America and the Caribbean
Netherlands,NLD,2005,79.3463414634146,41994.7135305232,1.2887370342477589,,121,MF,15,19,2.6,21.68,21.48,75.02,17.48,0.7,0.11,8.67,5.84,2.82,0.02,978,Advanced Economies
Netherlands,NLD,2010,80.7024390243902,50999.7451168879,0.9953226141360992,0.7723240565652505,121,MF,15,19,0.0,19.34,18.93,79.96,20.34,0.7,0.11,9.06,5.99,3.05,0.02,1021,Advanced Economies
Norway,NOR,2005,80.0414634146342,66810.478520868,0.7757184356480227,,122,MF,15,19,0.31,2.43,2.43,97.25,10.89,0.01,0.0,9.23,5.98,3.24,0.0,292,Advanced Economies
Norway,NOR,2010,80.9975609756098,87693.7900658099,0.7221531232070365,0.930947480452442,122,MF,15,19,3.05,0.03,0.03,96.92,11.98,0.0,0.0,10.05,6.79,3.27,0.0,319,Advanced Economies
Nepal,NPL,2005,65.264,315.805629997361,1.888101156339809,,95,MF,15,19,11.04,53.33,36.6,34.93,10.33,0.71,0.14,5.09,4.03,1.04,0.02,2921,South Asia
Nepal,NPL,2010,67.611,592.401207101201,1.8497875240180504,0.9797078497658296,95,MF,15,19,5.29,53.17,40.44,40.15,12.15,1.39,0.27,6.24,4.42,1.79,0.03,3345,South Asia
New Zealand,NZL,2005,79.8512195121951,27751.0654708859,1.7056088752473373,,133,MF,15,19,0.66,4.49,4.15,87.26,43.23,7.6,2.04,11.46,5.95,5.32,0.19,311,Advanced Economies
New Zealand,NZL,2010,80.7024390243902,33676.7741239925,1.4189155759075578,0.8319114637004894,133,MF,15,19,5.92,0.07,0.06,91.27,37.23,2.74,0.74,10.67,5.64,4.96,0.07,302,Advanced Economies
Pakistan,PAK,2005,63.951,748.922589270883,7.327516999530161,,97,MF,15,19,31.22,24.28,20.82,44.5,20.85,0.0,0.0,5.52,3.35,2.17,0.0,18436,South Asia
Pakistan,PAK,2010,65.264,987.409712037523,7.4891771898407535,1.0220620696370897,97,MF,15,19,28.33,22.44,19.73,49.23,22.25,0.0,0.0,6.42,3.52,2.91,0.0,19354,South Asia
Panama,PAN,2005,75.892,4916.90761156463,12.676756566909614,,62,MF,15,19,2.76,27.02,20.52,64.69,36.97,5.53,2.26,9.18,5.64,3.38,0.16,300,Latin America and the Caribbean
Panama,PAN,2010,76.792,8082.01617979675,22.13205080177209,1.7458764538828342,62,MF,15,19,3.59,28.67,21.18,62.48,28.65,5.26,2.15,8.76,5.56,3.05,0.15,308,Latin America and the Caribbean
Peru,PER,2005,72.908,2729.49917213529,3.773768184392779,,75,MF,15,19,1.54,13.65,9.55,70.08,43.0,14.73,11.58,9.74,5.78,3.43,0.53,2810,Latin America and the Caribbean
Peru,PER,2010,74.41,5082.35370614454,3.9932091484309193,1.0581490312377122,75,MF,15,19,0.46,23.89,19.77,75.45,40.53,0.2,0.1,8.94,5.85,3.08,0.01,2967,Latin America and the Caribbean
Philippines,PHL,2005,69.112,1244.34874065936,17.540920592861653,,98,MF,15,19,2.6,17.34,11.71,65.41,18.93,14.65,0.14,8.24,5.68,2.27,0.3,8885,East Asia and the Pacific
Philippines,PHL,2010,69.823,2217.47215336652,15.021317098246652,0.8563585370975133,98,MF,15,19,1.26,17.53,12.42,69.23,18.76,11.99,0.12,8.76,5.77,2.74,0.24,9486,East Asia and the Pacific
Papua New Guinea,PNG,2005,60.534,749.186511555671,5.472765041633598,,134,MF,15,19,28.76,59.99,59.99,11.05,3.51,0.2,0.05,4.8,4.27,0.52,0.0,612,East Asia and the Pacific
Papua New Guinea,PNG,2010,62.029,1949.35118513254,8.32674414667563,1.5214875996558643,134,MF,15,19,39.7,43.55,43.55,16.56,5.46,0.2,0.05,4.41,3.62,0.78,0.0,742,East Asia and the Pacific
Poland,POL,2005,74.9951219512195,8021.50574346795,2.5389031101945823,,123,MF,15,19,0.09,47.46,43.5,51.09,6.14,1.36,0.22,9.07,7.83,1.2,0.03,2918,Europe and Central Asia
Poland,POL,2010,76.2463414634146,12613.0109954681,1.8750458960815848,0.7385259754705176,123,MF,15,19,0.13,23.52,23.4,76.35,13.47,0.0,0.0,8.05,5.99,2.07,0.0,2461,Europe and Central Asia
Portugal,PRT,2005,78.0707317073171,18780.12751241,1.632496911906565,,124,MF,15,19,0.73,31.26,31.26,67.94,11.89,0.07,0.01,8.36,5.96,2.4,0.0,585,Advanced Economies
Portugal,PRT,2010,79.0268292682927,22520.6423124045,2.077947945109859,1.2728648550293788,124,MF,15,19,0.31,23.16,23.16,76.52,15.93,0.01,0.0,8.76,5.98,2.77,0.0,573,Advanced Economies
Paraguay,PRY,2005,71.667,1843.634107636,15.534450795918714,,74,MF,15,19,1.12,25.47,14.68,73.34,36.13,0.01,0.0,8.89,5.61,3.29,0.0,666,Latin America and the Caribbean
Paraguay,PRY,2010,72.653,4342.06584459985,12.19296067667663,0.784898084706028,74,MF,15,19,1.22,42.57,33.42,56.03,11.85,0.18,0.02,7.7,5.65,2.05,0.0,721,Latin America and the Caribbean
Qatar,QAT,2005,78.252,51455.9509428993,1.0058937134744368,,318,MF,15,19,5.81,20.89,12.75,73.3,17.62,0.0,0.0,8.13,5.41,2.73,0.0,47,Middle East and North Africa
Qatar,QAT,2010,79.108,67403.0876779676,1.182811012596045,1.175880708619325,318,MF,15,19,1.16,15.52,10.84,83.08,27.1,0.24,0.05,9.12,5.79,3.32,0.01,52,Middle East and North Africa
Romania,ROU,2005,71.9121951219512,4617.92901643258,2.904566726843282,,153,MF,15,19,0.48,19.16,3.63,73.74,10.37,6.61,1.28,7.72,3.67,3.89,0.16,1718,Europe and Central Asia
Romania,ROU,2010,73.4585365853659,8214.07689289811,2.5974254892889674,0.8942557474353088,153,MF,15,19,0.97,10.29,2.16,88.74,13.39,0.0,0.0,7.88,3.8,4.09,0.0,1193,Europe and Central Asia
Rwanda,RWA,2005,55.254,331.704511349098,4.238637611001437,,33,MF,15,19,38.39,43.37,43.37,18.2,5.77,0.05,0.01,5.65,4.93,0.72,0.0,1191,Sub-Saharan Africa
Rwanda,RWA,2010,63.433,609.754297393961,3.965264708729773,0.9355045353341552,33,MF,15,19,23.19,47.1,47.1,29.66,9.79,0.05,0.01,5.8,4.61,1.19,0.0,1132,Sub-Saharan Africa
Saudi Arabia,SAU,2005,73.256,13791.454761932,0.8953831094716703,,99,MF,15,19,2.97,27.52,23.27,69.51,14.51,0.0,0.0,8.21,5.69,2.52,0.0,2456,Middle East and North Africa
Saudi Arabia,SAU,2010,73.917,19262.5476013733,1.1486206636300855,1.2828259227581815,99,MF,15,19,0.1,17.6,16.79,79.64,18.67,2.67,0.52,9.14,5.97,3.11,0.06,2837,Middle East and North Africa
Sudan,SDN,2005,60.525,914.16650390625,3.3106617456322818,,39,MF,15,19,50.63,45.14,43.61,3.03,0.1,1.2,0.23,3.11,2.92,0.17,0.03,3806,Sub-Saharan Africa
Sudan,SDN,2010,62.764,1683.2119140625,3.9679418234246855,1.1985343500161398,39,MF,15,19,49.45,48.45,46.81,0.53,0.17,1.58,0.31,3.12,2.98,0.09,0.04,4244,Sub-Saharan Africa
Senegal,SEN,2005,60.62,992.688058138543,1.2096395167088498,,34,MF,15,19,62.99,33.29,6.01,3.72,0.33,0.0,0.0,1.56,1.4,0.16,0.0,1360,Sub-Saharan Africa
Senegal,SEN,2010,64.284,1271.58328084525,1.116165051856252,0.9227253544866654,34,MF,15,19,35.18,52.16,35.56,12.55,0.66,0.11,0.02,3.92,3.39,0.53,0.0,1463,Sub-Saharan Africa
Singapore,SGP,2005,79.990243902439,29961.2632774569,0.7918924030293744,,100,MF,15,19,0.5,22.92,17.79,76.38,68.77,0.2,0.08,10.26,5.82,4.44,0.01,287,East Asia and the Pacific
Singapore,SGP,2010,81.5414634146342,47236.9602345421,0.641602210785747,0.8102138729091298,100,MF,15,19,1.76,1.64,1.32,83.06,76.48,13.54,7.54,11.97,5.89,5.66,0.42,356,East Asia and the Pacific
Sierra Leone,SLE,2005,44.502,292.349066330563,1.4861475316979775,,36,MF,15,19,61.13,7.17,3.74,31.08,5.29,0.62,0.06,4.32,2.6,1.7,0.01,576,Sub-Saharan Africa
Sierra Leone,SLE,2010,49.382,401.834876099443,1.607796964097449,1.0818555559288805,36,MF,15,19,33.55,15.77,8.21,49.13,8.52,1.55,0.0,5.61,3.76,1.82,0.03,628,Sub-Saharan Africa
El Salvador,SLV,2005,70.124,2428.56887928932,53.115373172354346,,54,MF,15,19,3.58,51.4,34.21,44.56,9.07,0.46,0.22,8.74,7.9,0.82,0.01,676,Latin America and the Caribbean
El Salvador,SLV,2010,71.21,2983.2288061357,53.13328852409976,1.0003372912713475,54,MF,15,19,1.83,56.14,18.68,42.03,20.93,0.0,0.0,6.66,4.77,1.89,0.0,734,Latin America and the Caribbean
Slovenia,SVN,2005,77.6121951219512,18098.9085440003,1.4688427727232964,,331,MF,15,19,1.87,1.03,0.72,94.58,19.83,2.52,0.49,8.76,3.92,4.78,0.06,122,Europe and Central Asia
Slovenia,SVN,2010,79.4219512195122,23532.4808545468,0.8157030466243028,0.5553372095176361,331,MF,15,19,3.58,1.17,0.93,95.25,19.05,0.0,0.0,8.42,3.85,4.57,0.0,99,Europe and Central Asia
Sweden,SWE,2005,80.5463414634146,43437.0631164776,1.365142254673158,,126,MF,15,19,3.66,0.17,0.15,96.17,18.15,0.0,0.0,9.21,5.78,3.43,0.0,590,Advanced Economies
Sweden,SWE,2010,81.4512195121951,52869.0442891587,1.298797258293066,0.951400671869192,126,MF,15,19,5.76,0.21,0.2,94.02,19.26,0.0,0.0,9.05,5.65,3.4,0.0,623,Advanced Economies
Togo,TGO,2005,54.602,406.562366042383,6.597236739756986,,42,MF,15,19,20.59,27.91,27.91,50.56,16.11,0.94,0.18,7.36,4.76,2.57,0.02,685,Sub-Saharan Africa
Togo,TGO,2010,57.468,534.04478262418,7.106832428424308,1.0772438080926128,42,MF,15,19,13.11,24.54,24.54,61.23,13.25,1.11,0.22,8.16,5.21,2.92,0.03,773,Sub-Saharan Africa
Thailand,THA,2005,72.099,2894.06265596401,10.172458507627264,,104,MF,15,19,1.12,23.41,22.35,75.32,11.87,0.15,0.07,8.53,5.9,2.62,0.0,5404,East Asia and the Pacific
Thailand,THA,2010,74.184,5076.33987220163,7.615035453229391,0.7485934150057896,104,MF,15,19,2.46,12.74,12.74,69.63,35.83,15.17,12.75,10.48,5.85,4.07,0.56,5245,East Asia and the Pacific
Tajikistan,TJK,2005,66.08,340.583183232527,2.7331257735391032,,319,MF,15,19,0.1,16.99,16.99,82.13,38.26,0.78,0.15,8.94,4.0,4.93,0.02,837,Europe and Central Asia
Tajikistan,TJK,2010,68.736,749.552412285997,2.097769081587478,0.7675347771760584,319,MF,15,19,0.1,16.5,16.5,81.89,36.02,1.51,0.29,8.95,4.0,4.92,0.04,847,Europe and Central Asia
Tonga,TON,2005,69.836,2594.41873934395,1.414645547037794,,136,MF,15,19,0.6,26.0,20.11,72.2,6.4,1.2,0.23,8.65,5.79,2.83,0.03,11,East Asia and the Pacific
Tonga,TON,2010,70.059,3527.95234170016,1.4638263140500145,1.0347654344335249,136,MF,15,19,0.4,1.54,1.15,96.99,58.0,1.07,0.21,11.09,5.96,5.1,0.03,11,East Asia and the Pacific
Trinidad and Tobago,TTO,2005,70.691,12327.2807128582,29.086251206722416,,65,MF,15,19,1.68,9.52,8.3,86.77,33.48,2.03,0.0,10.25,6.84,3.37,0.04,129,Latin America and the Caribbean
Trinidad and Tobago,TTO,2010,71.946,16683.3930629542,34.69206325141852,1.1927306480596058,65,MF,15,19,0.18,2.98,2.48,92.9,50.53,3.95,0.0,11.04,6.97,3.99,0.08,103,Latin America and the Caribbean
Tunisia,TUN,2005,74.217,3193.20435786446,0.9580700886711734,,43,MF,15,19,7.81,17.3,13.43,73.38,16.18,1.5,0.29,8.41,5.42,2.95,0.04,1069,Middle East and North Africa
Tunisia,TUN,2010,75.041,4344.61941760278,0.8721026551220925,0.9102702040637588,43,MF,15,19,2.03,13.24,10.67,84.01,17.74,0.73,0.14,9.1,5.8,3.28,0.02,976,Middle East and North Africa
Uganda,UGA,2005,51.676,333.731576250845,6.202891899663334,,44,MF,15,19,0.09,91.12,29.12,8.68,1.23,0.11,0.02,5.2,4.82,0.38,0.0,3213,Sub-Saharan Africa
Uganda,UGA,2010,57.099,822.539372481326,5.707681581511995,0.920164606096357,44,MF,15,19,0.08,82.8,16.83,17.13,1.3,0.0,0.0,5.4,4.69,0.71,0.0,3771,Sub-Saharan Africa
Ukraine,UKR,2005,67.9568292682927,1894.47082519531,14.808176441174416,,358,MF,15,19,0.09,13.52,13.39,71.96,33.42,14.43,2.8,9.61,3.99,5.28,0.34,3694,Europe and Central Asia
Ukraine,UKR,2010,70.2653658536586,3078.42993164063,9.638991673475834,0.6509236104639079,358,MF,15,19,0.1,15.4,15.4,75.99,34.91,8.51,1.65,8.29,3.0,5.09,0.2,2857,Europe and Central Asia
Uruguay,URY,2005,75.826,5226.94409982496,4.645264044373187,,77,MF,15,19,0.23,41.63,38.06,58.12,8.1,0.03,0.0,7.87,5.88,1.99,0.0,264,Latin America and the Caribbean
Uruguay,URY,2010,76.75,11992.0237658273,5.575318958133264,1.2002157261408322,77,MF,15,19,0.19,44.59,41.8,55.22,8.91,0.0,0.0,7.83,5.9,1.92,0.0,275,Latin America and the Caribbean
South Africa,ZAF,2005,53.447,6033.10149088554,53.088370065436,,38,MF,15,19,5.44,20.98,10.2,71.72,16.81,1.86,0.0,8.86,6.24,2.58,0.04,4897,Sub-Saharan Africa
South Africa,ZAF,2010,57.669,8148.9612020223,42.45333179708584,0.799672917905719,38,MF,15,19,0.38,18.98,10.21,80.61,38.46,0.03,0.0,9.43,6.67,2.77,0.0,5094,Sub-Saharan Africa
Zambia,ZMB,2005,48.496,702.741118447779,8.780321425558975,,46,MF,15,19,11.01,64.0,41.41,24.89,3.97,0.1,0.02,6.06,5.44,0.62,0.0,1404,Sub-Saharan Africa
Zambia,ZMB,2010,55.655,1489.45908689417,9.21306111070714,1.0492851758124122,46,MF,15,19,1.66,18.78,13.59,79.47,13.13,0.1,0.02,8.69,6.7,1.99,0.0,1546,Sub-Saharan Africa
Zimbabwe,ZWE,2005,43.241,476.555402524382,9.139842529155032,,47,MF,15,19,0.1,42.09,28.94,57.77,2.6,0.04,0.01,8.35,6.53,1.81,0.0,1740,Sub-Saharan Africa
Zimbabwe,ZWE,2010,50.64,948.331481033457,9.291783172506024,1.0166239891843123,47,MF,15,19,0.1,48.09,36.33,51.77,1.95,0.04,0.01,7.7,6.58,1.12,0.0,1722,Sub-Saharan Africa
